From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)
XP_028519052.1	A0A913YX33	unreviewed	A0A913YX33_EXADI	YqaJ viral recombinase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	593		DNA repair [GO:0006281]	GO:0006281		DNA repair [GO:0006281]
XP_028518951.1	A0A913YXY3	unreviewed	A0A913YXY3_EXADI	DDE Tnp4 domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	399			GO:0046872	metal ion binding [GO:0046872]	metal ion binding [GO:0046872]
XP_022797554.1	A0A2B4RY46	unreviewed	A0A2B4RY46_STYPI	Guanylate cyclase 32E	Gyc32E AWC38_SpisGene14262	Stylophora pistillata (Smooth cauliflower coral)	338	plasma membrane [GO:0005886]	intracellular signal transduction [GO:0035556]; receptor guanylyl cyclase signaling pathway [GO:0007168]	GO:0001653; GO:0004016; GO:0004383; GO:0005886; GO:0007168; GO:0035556	adenylate cyclase activity [GO:0004016]; guanylate cyclase activity [GO:0004383]; peptide receptor activity [GO:0001653]	plasma membrane [GO:0005886]; adenylate cyclase activity [GO:0004016]; guanylate cyclase activity [GO:0004383]; peptide receptor activity [GO:0001653]; intracellular signal transduction [GO:0035556]; receptor guanylyl cyclase signaling pathway [GO:0007168]
XP_028518407.1	A0A913YV46	unreviewed	A0A913YV46_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	404					
XP_027050674.1	A0A3M6TGJ3	unreviewed	A0A3M6TGJ3_POCDA	Potassium channel tetramerisation-type BTB domain-containing protein	pdam_00009484	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	280		protein homooligomerization [GO:0051260]	GO:0051260		protein homooligomerization [GO:0051260]
XP_022796094.1	A0A2B4RZE1	unreviewed	A0A2B4RZE1_STYPI	CCHC-type domain-containing protein	AWC38_SpisGene13294	Stylophora pistillata (Smooth cauliflower coral)	985		proteolysis [GO:0006508]	GO:0004190; GO:0006508	aspartic-type endopeptidase activity [GO:0004190]	aspartic-type endopeptidase activity [GO:0004190]; proteolysis [GO:0006508]
XP_022795997.1	A0A2B4S148	unreviewed	A0A2B4S148_STYPI	Collagen triple helix repeat-containing protein 1	CTHRC1 AWC38_SpisGene13256	Stylophora pistillata (Smooth cauliflower coral)	209	collagen trimer [GO:0005581]		GO:0005581		collagen trimer [GO:0005581]
XP_020911246.1	A0A913XYH6	unreviewed	A0A913XYH6_EXADI	Reverse transcriptase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	694			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]
XP_022799338.1	A0A2B4RR71	unreviewed	A0A2B4RR71_STYPI	Immediate early response 3-interacting protein 1	Ier3ip1 AWC38_SpisGene15482	Stylophora pistillata (Smooth cauliflower coral)	81	COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]	GO:0000139; GO:0005789; GO:0006888; GO:0015031; GO:0030134		COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]
XP_022783948.1	A0A2B4SJX4	unreviewed	A0A2B4SJX4_STYPI	Neuronal pentraxin-1	NPTX1 AWC38_SpisGene5586	Stylophora pistillata (Smooth cauliflower coral)	284					
XP_038062323.1	A0A914AF36	unreviewed	A0A914AF36_PATMI	Uncharacterized protein		Patiria miniata (Bat star) (Asterina miniata)	249					
XP_022789276.1	A0A2B4T035	unreviewed	A0A2B4T035_STYPI	Pro-Pol polyprotein	pol AWC38_SpisGene1041	Stylophora pistillata (Smooth cauliflower coral)	2521		DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]
XP_020902432.1	A0A913XCK1	unreviewed	A0A913XCK1_EXADI	F-box domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	288					
XP_028512966.1	A0A913YES6	unreviewed	A0A913YES6_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1038					
XP_028517431.1	A0A913YTL2	unreviewed	A0A913YTL2_EXADI	Exonuclease domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	319	cytoplasm [GO:0005737]	DNA catabolic process [GO:0006308]	GO:0003676; GO:0005737; GO:0006308; GO:0008296	3'-5'-DNA exonuclease activity [GO:0008296]; nucleic acid binding [GO:0003676]	cytoplasm [GO:0005737]; 3'-5'-DNA exonuclease activity [GO:0008296]; nucleic acid binding [GO:0003676]; DNA catabolic process [GO:0006308]
XP_017302944.1	A0A1S4ELA5	unreviewed	A0A1S4ELA5_DIACI	Craniofacial development protein 2-like	LOC108253458	Diaphorina citri (Asian citrus psyllid)	519			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]
XP_031553337.1	A0A6P8HKW6	unreviewed	A0A6P8HKW6_ACTTE	Uncharacterized protein LOC116290448	LOC116290448	Actinia tenebrosa (Australian red waratah sea anemone)	636					
XP_028513088.1	A0A913YDN5	unreviewed	A0A913YDN5_EXADI	Tc1-like transposase DDE domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	319			GO:0003676	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]
XP_022780732.1	A0A2B4SNP1	unreviewed	A0A2B4SNP1_STYPI	Activator of basal transcription 1	esf2 AWC38_SpisGene3662	Stylophora pistillata (Smooth cauliflower coral)	199	nucleolus [GO:0005730]	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; small-subunit processome assembly [GO:0034462]	GO:0000447; GO:0000472; GO:0000480; GO:0003723; GO:0005730; GO:0034462	RNA binding [GO:0003723]	nucleolus [GO:0005730]; RNA binding [GO:0003723]; endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; small-subunit processome assembly [GO:0034462]
XP_038055792.1	A0A913ZWC0	unreviewed	A0A913ZWC0_PATMI	Integrase catalytic domain-containing protein		Patiria miniata (Bat star) (Asterina miniata)	366		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
XP_031562044.1	A0A6P8I0B5	unreviewed	A0A6P8I0B5_ACTTE	Uncharacterized protein LOC116297871	LOC116297871	Actinia tenebrosa (Australian red waratah sea anemone)	348					
XP_022785889.1	A0A2B4SIV6	unreviewed	A0A2B4SIV6_STYPI	E3 ubiquitin-protein ligase HECTD1	HECTD1 AWC38_SpisGene6823	Stylophora pistillata (Smooth cauliflower coral)	1489		regulation of apoptotic process [GO:0042981]	GO:0042981		regulation of apoptotic process [GO:0042981]
XP_027054872.1	A0A3M6T6C2	unreviewed	A0A3M6T6C2_POCDA	EF-hand domain-containing protein	pdam_00001031	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	196			GO:0005509	calcium ion binding [GO:0005509]	calcium ion binding [GO:0005509]
XP_020912356.1	A0A913XZY6	unreviewed	A0A913XZY6_EXADI	RNase H type-1 domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	411		DNA metabolic process [GO:0006259]	GO:0003676; GO:0004523; GO:0006259	nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; DNA metabolic process [GO:0006259]
XP_028519746.1	A0A913Z047	unreviewed	A0A913Z047_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	151					
XP_022806381.1	A0A2B4SQP4	unreviewed	A0A2B4SQP4_STYPI	PiggyBac transposable element-derived protein 1	PGBD1 AWC38_SpisGene2098	Stylophora pistillata (Smooth cauliflower coral)	1258			GO:0003676; GO:0008270	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
XP_027036398.1	A0A3M6UF77	unreviewed	A0A3M6UF77_POCDA	Mitochondrial inner membrane protein Mpv17	pdam_00010363	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	186	membrane [GO:0016020]; mitochondrion [GO:0005739]		GO:0005739; GO:0016020		membrane [GO:0016020]; mitochondrion [GO:0005739]
XP_022780456.1	A0A2B4SMA2	unreviewed	A0A2B4SMA2_STYPI	Forkhead box protein B1	FOXB1 AWC38_SpisGene3349	Stylophora pistillata (Smooth cauliflower coral)	817	nucleus [GO:0005634]		GO:0003700; GO:0003824; GO:0005634; GO:0043565	catalytic activity [GO:0003824]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	nucleus [GO:0005634]; catalytic activity [GO:0003824]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
XP_022807438.1	A0A2B4REC2	unreviewed	A0A2B4REC2_STYPI	Transposon Ty3-I Gag-Pol polyprotein	TY3B-I AWC38_SpisGene21137	Stylophora pistillata (Smooth cauliflower coral)	1375		DNA integration [GO:0015074]; proteolysis [GO:0006508]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]; proteolysis [GO:0006508]
XP_027041821.1	A0A3M6U208	unreviewed	A0A3M6U208_POCDA	ABC transporter domain-containing protein	pdam_00018997	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	595			GO:0005524; GO:0016887	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
XP_022794843.1	A0A2B4S0Q2	unreviewed	A0A2B4S0Q2_STYPI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AWC38_SpisGene12475	Stylophora pistillata (Smooth cauliflower coral)	510		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003887; GO:0003964; GO:0004519; GO:0006310; GO:0015074	DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; RNA-directed DNA polymerase activity [GO:0003964]	DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]
XP_022808881.1	A0A2B4R7H2	unreviewed	A0A2B4R7H2_STYPI	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene22313	Stylophora pistillata (Smooth cauliflower coral)	629		DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]
XP_027056737.1	A0A3M6UWI1	unreviewed	A0A3M6UWI1_POCDA	Uncharacterized protein	pdam_00013429	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	547	Cul4-RING E3 ubiquitin ligase complex [GO:0080008]	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0043161; GO:0080008		Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
XP_031570206.1	A0A6P8ISN5	unreviewed	A0A6P8ISN5_ACTTE	Uncharacterized protein LOC116304584	LOC116304584	Actinia tenebrosa (Australian red waratah sea anemone)	990		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]
XP_031563963.1	A0A6P8I7J3	unreviewed	A0A6P8I7J3_ACTTE	Uncharacterized protein LOC116299444	LOC116299444	Actinia tenebrosa (Australian red waratah sea anemone)	329		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]
XP_031568479.1	A0A6P8INM5	unreviewed	A0A6P8INM5_ACTTE	Uncharacterized protein LOC116303139	LOC116303139	Actinia tenebrosa (Australian red waratah sea anemone)	316					
XP_020911868.1	A0A913XZU0	unreviewed	A0A913XZU0_EXADI	Integrase catalytic domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	404		DNA integration [GO:0015074]	GO:0003676; GO:0015074	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]
XP_031573146.1	A0A6P8J020	unreviewed	A0A6P8J020_ACTTE	Uncharacterized protein LOC116307132	LOC116307132	Actinia tenebrosa (Australian red waratah sea anemone)	805		DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]
XP_022780156.1	A0A2B4SRE8	unreviewed	A0A2B4SRE8_STYPI	Uncharacterized protein	AWC38_SpisGene3258	Stylophora pistillata (Smooth cauliflower coral)	1462					
XP_022802923.1	A0A2B4RLV7	unreviewed	A0A2B4RLV7_STYPI	WD repeat and FYVE domain-containing protein 3	Wdfy3 AWC38_SpisGene17874	Stylophora pistillata (Smooth cauliflower coral)	864					
XP_022801851.1	A0A2B4RQA6	unreviewed	A0A2B4RQA6_STYPI	U6 snRNA-associated Sm-like protein LSm2	Lsm2 AWC38_SpisGene17120	Stylophora pistillata (Smooth cauliflower coral)	95	catalytic step 2 spliceosome [GO:0071013]; Lsm1-7-Pat1 complex [GO:1990726]; P-body [GO:0000932]; precatalytic spliceosome [GO:0071011]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]	mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0000932; GO:0003723; GO:0005688; GO:0046540; GO:0071011; GO:0071013; GO:1990726	RNA binding [GO:0003723]	catalytic step 2 spliceosome [GO:0071013]; Lsm1-7-Pat1 complex [GO:1990726]; P-body [GO:0000932]; precatalytic spliceosome [GO:0071011]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]
XP_028518032.1	A0A913YU34	unreviewed	A0A913YU34_EXADI	HAT C-terminal dimerisation domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	388					
XP_022809715.1	A0A2B4SWD4	unreviewed	A0A2B4SWD4_STYPI	Vesicle transport through interaction with t-SNAREs-like 1A	VTI1A AWC38_SpisGene2274	Stylophora pistillata (Smooth cauliflower coral)	217	cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]; late endosome membrane [GO:0031902]; SNARE complex [GO:0031201]	Golgi to vacuole transport [GO:0006896]; intra-Golgi vesicle-mediated transport [GO:0006891]; intracellular protein transport [GO:0006886]; macroautophagy [GO:0016236]; retrograde transport, endosome to Golgi [GO:0042147]; vesicle fusion with Golgi apparatus [GO:0048280]	GO:0000149; GO:0005484; GO:0005789; GO:0005794; GO:0005829; GO:0006886; GO:0006891; GO:0006896; GO:0012507; GO:0016236; GO:0031201; GO:0031902; GO:0042147; GO:0048280	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]	cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]; late endosome membrane [GO:0031902]; SNARE complex [GO:0031201]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; Golgi to vacuole transport [GO:0006896]; intra-Golgi vesicle-mediated transport [GO:0006891]; intracellular protein transport [GO:0006886]; macroautophagy [GO:0016236]; retrograde transport, endosome to Golgi [GO:0042147]; vesicle fusion with Golgi apparatus [GO:0048280]
XP_022795008.1	A0A2B4S0G6	unreviewed	A0A2B4S0G6_STYPI	DUF5641 domain-containing protein	AWC38_SpisGene12571	Stylophora pistillata (Smooth cauliflower coral)	1277		DNA metabolic process [GO:0006259]	GO:0003676; GO:0006259	nucleic acid binding [GO:0003676]	nucleic acid binding [GO:0003676]; DNA metabolic process [GO:0006259]
XP_022809137.1	A0A2B4R9A8	unreviewed	A0A2B4R9A8_STYPI	Integrase catalytic domain-containing protein	AWC38_SpisGene22527	Stylophora pistillata (Smooth cauliflower coral)	1330		DNA integration [GO:0015074]	GO:0003677; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]
XP_022785480.1	A0A2B4SK46	unreviewed	A0A2B4SK46_STYPI	Transient receptor potential cation channel subfamily M member 6	TRPM6 AWC38_SpisGene6500	Stylophora pistillata (Smooth cauliflower coral)	355		myosin II filament disassembly [GO:0031037]; response to differentiation-inducing factor 1 [GO:1903013]	GO:0004674; GO:0005524; GO:0031037; GO:1903013	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; myosin II filament disassembly [GO:0031037]; response to differentiation-inducing factor 1 [GO:1903013]
XP_020892138.1	A0A913WPI3	unreviewed	A0A913WPI3_EXADI	Transposase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	875	membrane [GO:0016020]		GO:0016020		membrane [GO:0016020]
XP_020899111.1	A0A913X5A9	unreviewed	A0A913X5A9_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	158					
XP_022781103.1	A0A2B4SSG5	unreviewed	A0A2B4SSG5_STYPI	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)	hulA AWC38_SpisGene3836	Stylophora pistillata (Smooth cauliflower coral)	662	cytoplasm [GO:0005737]	protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0005737; GO:0006511; GO:0016567; GO:0061630	ubiquitin protein ligase activity [GO:0061630]	cytoplasm [GO:0005737]; ubiquitin protein ligase activity [GO:0061630]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
XP_022807487.1	A0A2B4SUA7	unreviewed	A0A2B4SUA7_STYPI	Ubiquitin-conjugating enzyme E2 2	UBC2 AWC38_SpisGene2157	Stylophora pistillata (Smooth cauliflower coral)	153					
XP_022790309.1	A0A2B4S8W2	unreviewed	A0A2B4S8W2_STYPI	Core-binding (CB) domain-containing protein	AWC38_SpisGene9516	Stylophora pistillata (Smooth cauliflower coral)	331					
XP_052220741.1	A0A9D4FMS2	unreviewed	A0A9D4FMS2_DREPO	THAP-type domain-containing protein	DPMN_154092	Dreissena polymorpha (Zebra mussel) (Mytilus polymorpha)	487			GO:0003677; GO:0008270	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
XP_022783753.1	A0A2B4SWW4	unreviewed	A0A2B4SWW4_STYPI	PiggyBac transposable element-derived protein 5	PGBD5 AWC38_SpisGene599	Stylophora pistillata (Smooth cauliflower coral)	684					
XP_022777507.1	A0A2B4R724	unreviewed	A0A2B4R724_STYPI	Uncharacterized protein	AWC38_SpisGene24067	Stylophora pistillata (Smooth cauliflower coral)	427					
XP_022793931.1	A0A2B4S510	unreviewed	A0A2B4S510_STYPI	Transposon Ty3-G Gag-Pol polyprotein	TY3B-G AWC38_SpisGene11823	Stylophora pistillata (Smooth cauliflower coral)	767		proteolysis [GO:0006508]	GO:0004190; GO:0006508	aspartic-type endopeptidase activity [GO:0004190]	aspartic-type endopeptidase activity [GO:0004190]; proteolysis [GO:0006508]
XP_027054895.1	A0A3M6UK92	unreviewed	A0A3M6UK92_POCDA	Cysteine/serine-rich nuclear protein N-terminal domain-containing protein	pdam_00013700	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	198	nucleus [GO:0005634]	apoptotic process [GO:0006915]	GO:0000981; GO:0005634; GO:0006915; GO:0043565	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; apoptotic process [GO:0006915]
XP_028517071.1	A0A913YSI5	unreviewed	A0A913YSI5_EXADI	Uncharacterized protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	956					
XP_022793003.1	A0A2B4S443	unreviewed	A0A2B4S443_STYPI	Zinc finger protein 208	ZNF208 AWC38_SpisGene11247	Stylophora pistillata (Smooth cauliflower coral)	1399	nucleus [GO:0005634]		GO:0000978; GO:0000981; GO:0005634; GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
XP_022789002.1	A0A2B4S7H7	unreviewed	A0A2B4S7H7_STYPI	Retrovirus-related Pol polyprotein	pol AWC38_SpisGene8723	Stylophora pistillata (Smooth cauliflower coral)	739			GO:0003964; GO:0004519	endonuclease activity [GO:0004519]; RNA-directed DNA polymerase activity [GO:0003964]	endonuclease activity [GO:0004519]; RNA-directed DNA polymerase activity [GO:0003964]
XP_020906322.1	A0A913XLK3	unreviewed	A0A913XLK3_EXADI	Zinc-ribbon domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	222					
XP_028515119.1	A0A913YJ48	unreviewed	A0A913YJ48_EXADI	Endonuclease/exonuclease/phosphatase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	486			GO:0003824	catalytic activity [GO:0003824]	catalytic activity [GO:0003824]
XP_031567066.1	A0A6P8IJI9	unreviewed	A0A6P8IJI9_ACTTE	CUB and peptidase domain-containing protein 2-like	LOC116302022	Actinia tenebrosa (Australian red waratah sea anemone)	379	extracellular space [GO:0005615]	proteolysis [GO:0006508]	GO:0004252; GO:0005509; GO:0005615; GO:0006508	calcium ion binding [GO:0005509]; serine-type endopeptidase activity [GO:0004252]	extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]
XP_027046293.1	A0A3M6TSC8	unreviewed	A0A3M6TSC8_POCDA	Uncharacterized protein	pdam_00002471	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	272					
XP_022809546.1	A0A2B4RLK4	unreviewed	A0A2B4RLK4_STYPI	Uncharacterized protein	AWC38_SpisGene18308	Stylophora pistillata (Smooth cauliflower coral)	1697					
XP_028518762.1	A0A913YW70	unreviewed	A0A913YW70_EXADI	Transposase domain-containing protein		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	954					
XP_022778177.1	A0A2B4R4Z4	unreviewed	A0A2B4R4Z4_STYPI	Uncharacterized protein	AWC38_SpisGene24818	Stylophora pistillata (Smooth cauliflower coral)	128					
XP_020914339.1	A0A913Y318	unreviewed	A0A913Y318_EXADI	Reverse transcriptase		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	253					
XP_022806614.1	A0A2B4RER9	unreviewed	A0A2B4RER9_STYPI	Transposon Tf2-9 polyprotein	Tf2-9 AWC38_SpisGene20473	Stylophora pistillata (Smooth cauliflower coral)	1208		DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004519; GO:0015074	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]
XP_028516220.1	A0A913YL96	unreviewed	A0A913YL96_EXADI	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	579	cytoplasm [GO:0005737]	protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0005737; GO:0006511; GO:0016567; GO:0061630	ubiquitin protein ligase activity [GO:0061630]	cytoplasm [GO:0005737]; ubiquitin protein ligase activity [GO:0061630]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
XP_020896396.1	A0A913WZ85	unreviewed	A0A913WZ85_EXADI	Transposase		Exaiptasia diaphana (Tropical sea anemone) (Aiptasia pulchella)	1064					
XP_027044229.1	A0A3M6UMB4	unreviewed	A0A3M6UMB4_POCDA	Ribosomal protein L19	pdam_00014132	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	215	cytosolic large ribosomal subunit [GO:0022625]	translation [GO:0006412]	GO:0003723; GO:0003735; GO:0006412; GO:0022625	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
XP_022803499.1	A0A2B4RGF2	unreviewed	A0A2B4RGF2_STYPI	rRNA biogenesis protein RRP36	AWC38_SpisGene18231	Stylophora pistillata (Smooth cauliflower coral)	253	90S preribosome [GO:0030686]; nucleolus [GO:0005730]	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	GO:0000462; GO:0005730; GO:0030686		90S preribosome [GO:0030686]; nucleolus [GO:0005730]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]
XP_031565193.1	A0A6P8IAL2	unreviewed	A0A6P8IAL2_ACTTE	Uncharacterized protein LOC116300455	LOC116300455	Actinia tenebrosa (Australian red waratah sea anemone)	515					
